Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Jumlah Penduduk,Jumlah Kepala Keluarga,Perpindahan Penduduk,Jumlah Meninggal,Perubahan Data,Wajib KTP,Jumlah Rekam Wajib KTP,Islam,Kristen,Katholik,Hindu,Buddha,Konghuchu,Kepercayaan terhadap Tuhan YME,Laki-laki,Perempuan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati,Usia 0-4 Tahun,Usia 5-9 Tahun,Usia 10-14 Tahun,Usia 15-19 Tahun,Usia 20-24 Tahun,Usia 25-29 Tahun,Usia 30-34 Tahun,Usia 35-39 Tahun,Usia 40-44 Tahun,Usia 45-49 Tahun,Usia 50-54 Tahun,Usia 55-59 Tahun,Usia 60-64 Tahun,Usia 65-69 Tahun,Usia 70-74 Tahun,Usia 75 Tahun ke Atas,Lahir Tahun 2020,Lahir Sebelum Tahun 2020,Lahir Tahun 2021,Lahir Sebelum Tahun 2021,Lahir Tahun 2022,Lahir Sebelum Tahun 2022,Lahir Tahun 2023,Lahir Sebelum Tahun 2023,Lahir Tahun 2024,Lahir Sebelum Tahun 2024,Pertumbuhan Penduduk Tahun 2020 (%),Pertumbuhan Penduduk Tahun 2021 (%),Pertumbuhan Penduduk Tahun 2022 (%),Pertumbuhan Penduduk Tahun 2023 (%),Pertumbuhan Penduduk Tahun 2024 (%),Usia Pendidikan 3-4 Tahun,Usia Pendidikan 5 Tahun,Usia Pendidikan 6-11 Tahun,Usia Pendidikan 12-14 Tahun,Usia Pendidikan 15-17 Tahun,Usia Pendidikan 18-22 Tahun,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Golongan Darah A+,Golongan Darah A-,Golongan Darah B+,Golongan Darah B-,Golongan Darah AB+,Golongan Darah AB-,Golongan Darah O+,Golongan Darah O-,Golongan Darah Tidak Diketahui,Belum/Tidak Bekerja,Nelayan,Pelajar dan Mahasiswa,Pensiunan,Perdagangan,Mengurus Rumah Tannga,Wiraswasta,Guru,Perawat,Pengacara,Pekerjaan Lainnya
JAWA TIMUR,KAB. JEMBER,JELBUK,PANDUMAN,"7,366","2,866",15,12,"6,049","5,599","5,599","7,366",0,0,0,0,0,0,"3,646","3,720","2,465","4,399",136,366,475,475,593,431,565,550,529,604,516,511,502,467,339,289,241,279,97,"6,891",109,"6,988",106,"7,097",80,"7,203",83,"7,283",1,2,1,1,1,206,90,587,391,263,493,"2,796","1,333","1,949",602,628,5,6,47,0,0,16,23,10,24,2,0,1,0,0,0,2,5,"7,283","2,040",,427,9,60,"1,330",738,9,2,,
JAWA TIMUR,KAB. JEMBER,MAYANG,SIDOMUKTI,"7,061","2,651",23,18,"6,136","5,413","5,413","7,060",0,0,1,0,0,0,"3,540","3,521","2,461","4,183",135,282,401,530,529,413,564,549,539,472,446,474,467,475,394,300,236,272,96,"6,660",96,"6,756",74,"6,852",87,"6,926",48,"7,013",1,1,1,1,1,192,113,610,336,236,491,"3,174","1,348","1,488",544,434,6,9,56,2,0,22,84,50,26,2,0,0,0,0,0,1,1,"6,875","2,080",1,413,,62,905,615,24,2,,
JAWA TIMUR,KAB. JEMBER,KALISAT,GLAGAHWERO,"7,616","2,771",18,10,"6,676","5,753","5,753","7,580",24,4,0,5,0,3,"3,803","3,813","2,936","4,050",192,438,466,550,612,482,664,545,553,497,573,535,518,439,378,267,215,322,138,"7,150",97,"7,288",94,"7,385",85,"7,479",52,"7,564",2,1,1,1,1,235,122,660,380,284,578,"2,135",879,"2,195","1,056","1,051",42,79,167,8,4,40,52,17,63,1,4,1,1,0,0,0,1,"7,436","2,267",,762,29,153,"1,374","1,067",59,8,1,
JAWA TIMUR,KAB. JEMBER,LEDOKOMBO,SUMBERBULUS,"9,812","3,774",32,5,"8,398","7,421","7,421","9,773",31,4,2,1,1,0,"4,883","4,929","3,428","5,666",249,469,620,694,785,586,777,692,709,715,732,692,693,599,480,367,260,411,150,"9,192",154,"9,342",132,"9,496",114,"9,628",70,"9,742",2,2,1,1,1,304,135,845,499,343,694,"2,961","2,229","3,161",879,505,7,6,58,6,0,31,16,6,25,0,0,0,1,0,0,0,2,"9,731","2,780",4,717,3,91,"1,736","1,363",17,1,,
JAWA TIMUR,KAB. JEMBER,SUKOWONO,SUKOSARI,"7,796","2,936",22,6,"6,686","5,915","5,915","7,772",18,2,0,4,0,0,"3,838","3,958","2,720","4,455",104,517,500,536,606,430,548,573,557,566,544,554,514,459,431,293,288,397,127,"7,296",121,"7,423",102,"7,544",81,"7,646",69,"7,727",2,2,1,1,1,248,119,666,357,263,479,"2,175","1,099","3,054",752,549,16,23,120,8,0,34,16,5,30,2,0,0,0,2,0,0,0,"7,707","2,186",2,548,19,73,"1,884",955,28,4,,
JAWA TIMUR,KAB. JEMBER,SILO,PACE,"19,019","6,952",57,23,"14,599","14,440","14,440","19,007",4,2,5,0,0,1,"9,436","9,583","6,809","11,198",267,745,999,"1,494","1,488","1,098","1,557","1,363","1,377","1,369","1,413","1,423","1,365","1,258","1,049",718,535,513,264,"18,020",226,"18,284",255,"18,510",164,"18,765",90,"18,929",1,1,1,1,0,490,316,"1,737",929,684,"1,285","6,474","3,597","5,743","1,815","1,146",26,34,177,6,1,38,46,21,74,3,0,0,0,0,0,1,1,"18,835","4,847",1,"1,977",16,114,"3,133","2,660",113,8,,
JAWA TIMUR,KAB. JEMBER,SUMBERSARI,KARANGREJO,"20,734","6,972",100,85,"18,477","15,230","15,230","20,171",334,152,73,3,0,1,"10,311","10,423","8,607","10,653",472,"1,002","1,526","1,727","1,647","1,265","1,529","1,804","1,891","1,638","1,456","1,318","1,161","1,127",862,653,459,671,330,"19,208",342,"19,538",315,"19,880",316,"20,195",223,"20,511",2,2,2,2,1,672,342,"2,052",980,787,"1,341","6,004","2,461","3,715","2,060","4,152",140,455,"1,530",201,16,393,590,214,"1,019",32,0,22,0,5,0,15,19,"18,425","6,401",,"2,085",191,170,"3,971","3,069",225,67,5,
JAWA TIMUR,KAB. JEMBER,TEMPUREJO,WONOASRI,"11,547","4,151",16,22,"10,298","8,890","8,890","11,501",37,7,2,0,0,0,"5,812","5,735","4,291","6,468",297,491,603,834,876,731,788,744,794,819,987,851,841,737,671,500,409,362,154,"10,944",135,"11,098",118,"11,233",117,"11,351",79,"11,468",1,1,1,1,1,289,170,"1,030",510,436,785,"3,049","1,660","2,991","2,306","1,351",20,26,135,9,0,30,39,21,66,2,0,1,0,1,0,0,3,"11,384","3,045",1,"1,068",20,89,"2,133","1,858",54,4,,
JAWA TIMUR,KAB. JEMBER,SEMBORO,PONDOKDALEM,"6,878","2,429",13,21,"6,055","5,129","5,129","6,866",6,3,3,0,0,0,"3,434","3,444","2,735","3,627",147,369,408,533,551,470,552,493,473,493,520,501,466,403,325,275,186,229,104,"6,470",100,"6,574",87,"6,674",70,"6,761",47,"6,831",2,2,1,1,1,204,107,640,337,303,502,"2,877",722,"2,120",552,491,18,23,73,2,0,16,18,6,27,1,0,0,0,0,0,3,1,"6,806","2,320",2,486,11,136,"1,578","1,289",34,4,,
JAWA TIMUR,KAB. JEMBER,PUGER,GRENDEN,"15,888","5,559",50,41,"14,223","12,505","12,505","15,829",48,8,2,1,0,0,"7,979","7,909","5,962","8,721",416,789,761,"1,011","1,196",967,"1,249","1,148","1,090","1,050","1,301","1,186","1,213","1,164",876,613,493,570,187,"15,127",196,"15,314",153,"15,510",140,"15,663",85,"15,803",1,1,1,1,1,383,220,"1,232",755,556,"1,150","3,592","1,422","5,284","3,023","2,194",50,65,237,20,1,89,78,18,149,6,0,0,0,1,0,3,3,"15,541","3,961",47,"1,766",31,165,"3,373","2,686",111,1,1,
